MAV0,RMS0,VAR0,SSC0,WL0,ZC0,WAMP0,AR1C0,AR2C0,AR3C0,AR4C0,DELTAX0,DELTAY0,DELTAZ0,MAV1,RMS1,VAR1,SSC1,WL1,ZC1,WAMP1,AR1C1,AR2C1,AR3C1,AR4C1,DELTAX1,DELTAY1,DELTAZ1,MOTION,FOLDNO
25.5677,33.4852,1121.1073,32.8000,8032.4453,18.2365,68.7375,1.4845,-1.1988,0.7335,-0.3642,-0.3039,0.2235,-0.1385,8.8320,11.0410,121.9041,33.0000,3363.5833,18.2365,52.1042,1.1602,-0.8910,0.6668,-0.4042,1.7777,0.5688,-0.2364,EF,4
23.2743,29.8292,889.7828,34.4000,7017.2956,15.8317,68.5371,1.4434,-1.0804,0.6811,-0.3529,-0.1659,0.2189,-0.2416,8.5417,10.5668,111.6560,33.2000,3164.5252,19.4389,51.5030,1.1732,-0.8760,0.6297,-0.3737,1.1727,0.4267,-0.2033,EF,4
21.2725,26.8357,719.9905,32.6000,6420.5903,15.6313,63.5271,1.5225,-1.2345,0.7492,-0.3453,-0.2533,0.3402,-0.3264,7.9787,10.0115,100.2249,34.4000,3047.2409,20.4409,52.5050,1.1536,-0.8228,0.5604,-0.3518,0.7272,-0.0530,-0.4032,EF,4
18.5718,23.1805,537.1627,31.6000,5960.0162,17.2345,60.7214,1.4427,-1.1539,0.7239,-0.3611,-0.4994,0.3775,-0.4749,8.1127,10.5829,111.9947,31.0000,3097.0109,19.4389,51.9038,1.1688,-0.8355,0.5645,-0.3829,0.8211,-0.1968,-0.4775,EF,4
19.7425,25.1448,632.2533,31.6000,6066.5776,17.2345,64.3287,1.3893,-0.9995,0.7195,-0.4293,-0.8203,-0.1838,-0.6325,8.3610,10.8872,118.5298,31.2000,3310.7615,21.0421,53.7074,1.1994,-0.9477,0.6262,-0.3777,0.8432,-0.1992,-0.1484,EF,4
20.9648,25.9069,671.1190,30.6000,6108.0203,14.8297,65.9319,1.4436,-1.0725,0.7186,-0.4039,-1.1806,-0.6953,-0.6145,7.8326,10.0217,100.4340,34.2000,3247.2943,20.6413,54.3086,1.1757,-0.9757,0.6705,-0.4066,0.6498,-0.1160,-0.1188,EF,4
18.7623,23.0969,533.4089,32.2000,5907.8168,16.2325,63.3267,1.3587,-1.0336,0.6605,-0.3921,-0.7338,-0.2317,-0.4138,7.8753,10.0854,101.7130,33.6000,3259.1826,20.4409,54.3086,1.1723,-0.9853,0.6139,-0.4004,0.5434,-0.0992,-0.2422,EF,4
18.3401,23.8841,570.4421,33.4000,5923.6319,18.8377,61.1222,1.3777,-1.0327,0.6871,-0.3817,-0.3388,0.2302,-0.3984,7.6908,10.0705,101.4138,34.6000,3318.7252,20.2405,51.1022,1.1654,-0.9975,0.6083,-0.3732,0.6196,-0.1827,-0.1385,EF,4
18.3232,23.9468,573.4477,31.4000,5825.5414,18.6373,60.9218,1.4860,-1.1853,0.7479,-0.3696,-0.4001,0.2993,-0.3374,7.5396,9.6179,92.5014,34.0000,3287.8223,21.0421,53.3066,1.1682,-1.0073,0.6444,-0.3450,0.6884,-0.1290,-0.1413,EF,4
19.8809,25.4629,648.3144,30.2000,5386.9782,17.2345,58.9178,1.5761,-1.2578,0.8377,-0.3774,-8.2831,-5.5273,20.1785,13.0519,17.1236,293.2181,36.2000,4353.5779,20.4409,61.7234,1.2846,-0.9444,0.7000,-0.3442,7.2995,-8.3290,32.0580,EF,5
