MAV0,RMS0,VAR0,SSC0,WL0,ZC0,WAMP0,AR1C0,AR2C0,AR3C0,AR4C0,DELTAX0,DELTAY0,DELTAZ0,MAV1,RMS1,VAR1,SSC1,WL1,ZC1,WAMP1,AR1C1,AR2C1,AR3C1,AR4C1,DELTAX1,DELTAY1,DELTAZ1,MOTION,FOLDNO
21.1143,27.1371,736.3927,33.6000,6450.8842,15.2305,51.3026,1.3596,-0.9718,0.6648,-0.3679,0.6115,-13.4693,28.3828,12.7848,16.5318,273.2760,33.0000,5124.8453,21.4429,57.5150,1.2773,-1.1006,0.6868,-0.3906,-8.3614,3.0574,28.6919,EF,5
18.8317,24.2446,587.7755,33.2000,6037.2505,17.0341,48.8978,1.3864,-1.0358,0.6283,-0.3142,-1.2385,-11.0997,20.2047,17.3359,22.6462,512.7974,34.0000,5906.5248,18.2365,61.9238,1.3239,-1.0151,0.6886,-0.3906,-5.6278,3.0375,20.5138,EF,5
21.3666,28.2357,797.1288,32.0000,6717.0314,17.4349,50.5010,1.5024,-1.2528,0.7953,-0.3742,-2.6596,-8.1572,13.9170,30.6380,43.0820,1855.8539,35.8000,8599.8776,17.6353,72.3447,1.4833,-1.1009,0.7794,-0.4081,-3.6761,3.1641,13.8120,EF,5
26.4602,34.4111,1184.0643,31.8000,8095.3971,16.6333,58.3166,1.5678,-1.3075,0.7827,-0.3391,-2.2816,-4.2517,7.0780,49.3025,67.3016,4528.9400,34.6000,13007.7585,19.0381,81.3627,1.5620,-1.2092,0.8710,-0.4626,-2.1610,2.1990,5.9395,EF,5
35.9159,45.4738,2067.8118,29.4000,10791.2228,16.8337,71.3427,1.6656,-1.4651,0.8669,-0.3599,-1.1438,-1.3384,1.7239,62.1175,83.9592,7048.6358,32.4000,16050.4173,17.2345,86.1723,1.5930,-1.2427,0.8533,-0.4739,-0.7309,0.7196,1.2233,EF,5
38.4398,48.9529,2396.3335,26.8000,11634.7130,17.6353,70.9419,1.6738,-1.4938,0.8745,-0.3714,-0.5542,-0.2454,0.1322,63.2446,87.2597,7613.5184,31.2000,15655.8544,15.2305,85.1703,1.6361,-1.2728,0.8111,-0.4249,0.3861,0.4244,0.7901,EF,5
33.5421,43.0357,1852.0637,31.8000,10378.2336,17.4349,65.9319,1.5002,-1.2391,0.7454,-0.3567,-0.3838,-0.3278,0.3010,49.9723,70.0031,4900.2333,32.2000,13208.4548,16.2325,81.9639,1.5720,-1.1831,0.7481,-0.3785,0.2253,-0.2418,0.5657,EF,5
28.1950,36.2671,1315.3005,33.2000,9064.1770,17.8357,64.1283,1.4144,-1.1436,0.7625,-0.3679,-0.4321,-0.1718,0.1138,40.2689,51.8572,2689.1635,31.6000,11298.8949,15.6313,78.9579,1.4871,-1.1052,0.7130,-0.4031,0.2485,-0.0538,0.2753,EF,5
26.9841,34.3089,1177.0094,34.4000,8757.0090,17.6353,63.9279,1.4110,-1.1515,0.8320,-0.4397,-0.3203,0.1507,-0.1198,38.8327,48.7541,2376.6538,29.4000,10350.4230,15.2305,79.9599,1.5061,-1.1269,0.7651,-0.4409,0.3080,-0.1720,0.1146,EF,5
26.7121,34.1868,1168.7140,36.4000,8811.0943,18.0361,63.3267,1.3829,-1.0935,0.7645,-0.4263,-0.2677,-0.1433,0.0753,36.7956,46.7743,2187.8004,32.0000,9882.2336,16.0321,78.3567,1.5343,-1.2024,0.8724,-0.4813,0.1673,-0.2211,0.1575,EF,5
25.2886,32.1705,1034.9303,33.4000,8768.4680,17.8357,62.3246,1.3729,-1.1237,0.7403,-0.3701,-0.2627,-0.2910,0.2513,36.1607,46.6232,2173.4393,35.0000,10012.2121,16.0321,75.9519,1.5305,-1.2212,0.8895,-0.4791,0.0784,0.1425,0.2122,EF,5
